FURO,XCOLLAR,YCOLLAR,ZCOLLAR,PROF,AZ,DIP,DE,ATE,AMOSTRA,Lito_Final,FE,SI,G1,G2,G3,LOTE
DSV-FD0001,641233.328,8427027.425,904.731,3,0,90,0,3.03,DSV-FD0001-00001,CM,65.2,0.6,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,6,0,90,3.03,6.25,DSV-FD0001-00002,CM,63.6,0.2,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,9,0,90,6.25,10.82,DSV-FD0001-00003,CM,65.5,0.3,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,12,0,90,10.82,13.95,DSV-FD0001-00004,HF,67.5,0.4,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,15,0,90,13.95,17.18,DSV-FD0001-00005,HF,67.5,0.5,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,18,0,90,17.18,20.23,DSV-FD0001-00006,HF,67.3,0.5,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,21,0,90,20.23,21.59,DSV-FD0001-00007-NS,SR,67.3,0.5,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,24,0,90,23.28,24.28,DSV-FD0001-00011-NS,SR,65.1,0.6,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,27,0,90,24.28,28.01,DSV-FD0001-00012,HEM,64.6,0.5,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,30,0,90,28.01,31.89,DSV-FD0001-00013,HEM,61.1,0.9,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,33,0,90,31.89,34.23,DSV-FD0001-00014,HEM,65.4,0.7,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,36,0,90,34.23,36.74,DSV-FD0001-00015,HEM,46.2,0.7,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,39,0,90,37.1,39.17,DSV-FD0001-00016,HEM,37.1,0.5,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,42,0,90,39.25,42.11,DSV-FD0001-00019,HF,65.7,1.5,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,45,0,90,42.11,45.68,DSV-FD0001-00020,HEM,66,0.6,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,48,0,90,47.4,50.25,DSV-FD0001-00022,HF,64.3,0.7,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,51,0,90,50.25,53.31,DSV-FD0001-00023,HEM,35.2,0.5,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,54,0,90,53.31,55.64,DSV-FD0001-00024,HEM,53.7,0.9,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,57,0,90,55.64,58.86,DSV-FD0001-00025,HEM,63.4,0.9,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,60,0,90,58.86,60.98,DSV-FD0001-00026,HF,65.7,0.9,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,66,0,90,62.94,66.54,DSV-FD0001-00029,HEM,59.6,0.7,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,69,0,90,67.09,70.14,DSV-FD0001-00031,HEM,53.2,0.8,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,72,0,90,70.14,73.19,DSV-FD0001-00032,HEM,54.4,0.8,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,75,0,90,73.19,76.78,DSV-FD0001-00033,HEM,64.5,0.8,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,78,0,90,76.78,80.81,DSV-FD0001-00034,HF,66.1,0.9,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,81,0,90,80.81,83.86,DSV-FD0001-00035,HEM,63.2,1.5,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,84,0,90,83.86,86.12,DSV-FD0001-00036,HF,64.5,2.3,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,87,0,90,86.12,89.66,DSV-FD0001-00037,HF,64.4,1.6,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,90,0,90,89.66,93.03,DSV-FD0001-00038,HF,64.5,3.1,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,99,0,90,96.66,100.76,DSV-FD0001-00041-NS,SR,67.3,1.1,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,105,0,90,102.6,106.55,DSV-FD0001-00044,HF,61.9,2.1,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,108,0,90,107.72,109.75,DSV-FD0001-00047-NS,SR,66,2.5,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,111,0,90,110.4,112.8,DSV-FD0001-00049-NS,SR,67,1,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,102,0,90,100.76,102.6,DSV-FD0001-00050,HF,66.7,1.8,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,114,0,90,113.42,117.06,DSV-FD0001-00052,HF,67.4,1.3,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,120,0,90,117.42,120.71,DSV-FD0001-00054,HF,65.3,3.3,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,123,0,90,121.01,124.69,DSV-FD0001-00056,HF,65.9,2.4,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,129,0,90,128.61,129.72,DSV-FD0001-00057,MD,36.7,2.4,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,132,0,90,130.04,133.27,DSV-FD0001-00062,JP,38.5,43.7,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,135,0,90,134.2,137.1,DSV-FD0001-00065,JP,38.9,43.3,-99,-99,-99,DSV-1970-0001
DSV-FD0001,641233.328,8427027.425,904.731,138,0,90,137.1,140.55,DSV-FD0001-00066,JP,41.7,39.2,-99,-99,-99,DSV-1970-0001
DSV-FD0002,641685.671,8425075.022,885.511,3,90,60,0,3.5,DSV-FD0002-00001,CG,47.8,0.3,-99,-99,-99,DSV-1970-0002
DSV-FD0002,641685.671,8425075.022,885.511,6,90,60,3.5,6.95,DSV-FD0002-00002,CG,53.7,0.3,-99,-99,-99,DSV-1970-0002
DSV-FD0002,641685.671,8425075.022,885.511,9,90,60,6.95,10.79,DSV-FD0002-00003,CM,66.4,0.3,-99,-99,-99,DSV-1970-0002
DSV-FD0002,641685.671,8425075.022,885.511,12,90,60,10.79,13.73,DSV-FD0002-00004,CM,66.6,0.3,-99,-99,-99,DSV-1970-0002
DSV-FD0002,641685.671,8425075.022,885.511,15,90,60,13.73,17.92,DSV-FD0002-00005,CM,56.6,0.3,-99,-99,-99,DSV-1970-0002
DSV-FD0002,641685.671,8425075.022,885.511,18,90,60,17.92,19.72,DSV-FD0002-00006,CG,18.4,0.3,-99,-99,-99,DSV-1970-0002
DSV-FD0002,641685.671,8425075.022,885.511,21,90,60,19.72,21.72,DSV-FD0002-00007,CG,48.3,0.3,-99,-99,-99,DSV-1970-0002
DSV-FD0002,641685.671,8425075.022,885.511,24,90,60,22.32,25.93,DSV-FD0002-00008,CG,34,0.3,-99,-99,-99,DSV-1970-0002
