i,j,k,FE,SI,G1,G2,G3,LITOTIPO,ORE,X,Y,Z
1,54,21,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,640875.0,8426525.0,537.5
2,50,15,26.94,49.6,98.9,1.0,0.1,JP,0,640925.0,8426325.0,387.5
2,50,16,26.94,49.6,98.9,1.0,0.1,MS,0,640925.0,8426325.0,412.5
2,54,26,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,640925.0,8426525.0,662.5
2,54,27,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,640925.0,8426525.0,687.5
2,54,28,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,640925.0,8426525.0,712.5
2,54,29,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,640925.0,8426525.0,737.5
2,54,31,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,640925.0,8426525.0,787.5
2,56,18,59.41,0.83,-99.0,-99.0,-99.0,MS,0,640925.0,8426625.0,462.5
2,56,20,59.41,0.83,-99.0,-99.0,-99.0,MS,0,640925.0,8426625.0,512.5
3,35,34,31.8,19.9,9.6,58.4,32.0,CG,0,640975.0,8425575.0,862.5
3,35,38,31.8,19.9,9.6,58.4,32.0,MD,0,640975.0,8425575.0,962.5
3,44,19,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,640975.0,8426025.0,487.5
3,44,20,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,640975.0,8426025.0,512.5
3,44,21,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,640975.0,8426025.0,537.5
3,49,17,26.94,49.6,98.9,1.0,0.1,JP,0,640975.0,8426275.0,437.5
3,49,19,26.94,49.6,98.9,1.0,0.1,JP,0,640975.0,8426275.0,487.5
3,49,20,29.63,55.82,89.8,9.1,1.1,JP,0,640975.0,8426275.0,512.5
3,50,13,26.94,49.6,98.9,1.0,0.1,MS,0,640975.0,8426325.0,337.5
3,50,14,26.94,49.6,98.9,1.0,0.1,JP,0,640975.0,8426325.0,362.5
3,50,15,26.94,49.6,98.9,1.0,0.1,JP,0,640975.0,8426325.0,387.5
3,50,20,29.63,55.82,89.8,9.1,1.1,MS,0,640975.0,8426325.0,512.5
3,52,17,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,640975.0,8426425.0,437.5
3,52,18,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,640975.0,8426425.0,462.5
3,52,19,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,640975.0,8426425.0,487.5
3,52,20,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,640975.0,8426425.0,512.5
3,52,21,-99.0,-99.0,-99.0,-99.0,-99.0,JP,0,640975.0,8426425.0,537.5
3,52,22,-99.0,-99.0,-99.0,-99.0,-99.0,MD,0,640975.0,8426425.0,562.5
3,52,23,-99.0,-99.0,-99.0,-99.0,-99.0,MS,0,640975.0,8426425.0,587.5
