FURO,X,Y,Z,PROF
DSV-FD0001,641233.328,8427027.425,904.731,140.55
DSV-FD0002,641685.671,8425075.022,885.511,104.98
DSV-FD0003,641449.523,8425857.187,881.175,108.22
DSV-FD0004,641862.499,8428127.676,935.52,143.35
DSV-FD0005,641801.184,8428021.369,935.285,132.8
DSV-FD0006,641397.893,8427966.013,841.518,240
DSV-FD0007,641466.286,8428075.974,946.548,227.9
DSV-FD0008,8428161.758,641353.886,821.233,331.25
DSV-FD0009,8428086.691,641571.157,869.763,261.2
DSV-FD0010,641274.059,8428052.677,817.997,433.2
DSV-FD0011,641351.788,8428161.498,820.969,257.3
DSV-FD0012,641574.559,8427989.573,872.25,226.4
DSV-FD0013,8427853.419,641291.341,825.127,384.8
DSV-FD0014,641488.685,8427878.631,850.634,266.35
DSV-FD0015,641600.035,8427791.744,857.225,302.45
DSV-FD0016,641204.067,8427741.895,825.431,339.95
DSV-FD0017,641229.864,8427543.018,854.328,223.05
DSV-FD0018,8427660.403,641340.216,848.112,229.9
DSV-FD0019,641402.62,8427062.277,921.111,221.8
DSV-FD0020,641118.223,8427627.516,838.94,308.05
DSV-FD0021,641403.415,8427767.175,850.697,336.9
DSV-FD0022,641884.367,8427928.916,942.222,128.1
DSV-FD0023,641540.576,8427482.221,876.528,118.85
DSV-FD0024,641429.101,8427568.13,864.555,206.05
DSV-FD0025,641256.703,8427345.711,879.515,202.45
DSV-FD0026,641452.821,8427370.429,887.868,182.3
DSV-FD0027,641353.043,8426552.58,871.445,320.05
DSV-FD0028,641281.227,8427147.025,909.61,132.85
DSV-FD0029,641477.684,8427172.076,910.792,124.05
DSV-FD0030,641071.825,8427540.778,845.001,247.95
DSV-FD0031,641678.657,8427197.704,896.343,126.1
DSV-FD0032,641580.658,8426380.049,913.313,143
DSV-FD0033,641738.446,8427507.646,893.495,242.35
DSV-FD0034,641590.862,8427085.799,911.563,149.95
DSV-FD0035,641721.879,8426095.487,908.382,138.25
DSV-FD0036,641501.905,8426973.826,925.426,102.95
DSV-FD0037,641344.667,8427457.59,675.395,224.65
DSV-FD0038,641306.703,8426949.27,908.613,127.05
DSV-FD0039,641417.364,8426859.712,915.838,120.65
DSV-FD0040,641602.959,8426180.848,892.653,224.85
DSV-FD0041,641330.934,8426750.796,896.821,229.5
DSV-FD0042,641107.922,8426924.141,887.535,125.65
DSV-FD0043,641824.702,8427619.042,896.457,216.2
DSV-FD0044,641514.005,8427680.367,849.823,353.9
DSV-FD0045,641516.371,8426069.519,875.091,244.3
DSV-FD0046,641635.75,8426983.163,912.653,102.65
DSV-FD0047,8426638876,641243913,890.644,298.55
DSV-FD0048,641667.02,8426491.166,930.383,111.15
DSV-FD0049,8427593.535,641623.779,860.146,256.6
DSV-FD0050,641142.994,8427432.041,863.264,207.95
DSV-FD0051,641194.223,8427035.117,902.567,194
DSV-FD0052,641220.159,8426837.642,910.084,245.85
